date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:03:33	403/403	---M--	200	added ('OK')	image/gif	etag:%225c659897-193%22	http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/css/images/file-icons/pdf.gif?20190214043431	C:/My%20Web%20Sites/CGTest/www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/css/images/file-icons/pdf5689.gif	(from http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/compiled/theme.min.css?_=140220191634)
15:03:33	392/392	---M--	200	added ('OK')	image/gif	etag:%225c659897-188%22	http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/css/images/file-icons/png.gif?20190214043431	C:/My%20Web%20Sites/CGTest/www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/css/images/file-icons/png5689.gif	(from http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/compiled/theme.min.css?_=140220191634)
15:03:34	631/631	---M--	200	added ('OK')	image/gif	etag:%225c659897-277%22	http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/css/images/file-icons/ppt.gif?20190214043431	C:/My%20Web%20Sites/CGTest/www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/css/images/file-icons/ppt5689.gif	(from http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/compiled/theme.min.css?_=140220191634)
15:03:34	634/634	---M--	200	added ('OK')	image/gif	etag:%225c659897-27a%22	http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/css/images/file-icons/psd.gif?20190214043431	C:/My%20Web%20Sites/CGTest/www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/css/images/file-icons/psd5689.gif	(from http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/compiled/theme.min.css?_=140220191634)
15:03:34	277/277	---M--	200	added ('OK')	image/gif	etag:%225c659897-115%22	http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/css/images/file-icons/txt.gif?20190214043431	C:/My%20Web%20Sites/CGTest/www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/css/images/file-icons/txt5689.gif	(from http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/compiled/theme.min.css?_=140220191634)
15:03:34	80652/80652	---M--	200	added ('OK')	application/octet-stream	etag:%225c659897-13b0c%22	http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/assets/font-awesome/fonts/fontawesome-webfont.ttf?v=4.0.3	C:/My%20Web%20Sites/CGTest/www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/assets/font-awesome/fonts/fontawesome-webfontba72.ttf	(from http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/compiled/theme.min.css?_=140220191634)
15:03:34	289/289	---M--	200	added ('OK')	image/gif	etag:%225c659898-121%22	http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/css/images/file-icons/url.gif?20190214043432	C:/My%20Web%20Sites/CGTest/www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/css/images/file-icons/url13e1.gif	(from http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/compiled/theme.min.css?_=140220191634)
15:03:35	617/617	---M--	200	added ('OK')	image/gif	etag:%225c659898-269%22	http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/css/images/file-icons/vsd.gif?20190214043432	C:/My%20Web%20Sites/CGTest/www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/css/images/file-icons/vsd13e1.gif	(from http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/compiled/theme.min.css?_=140220191634)
15:03:35	623/623	---M--	200	added ('OK')	image/gif	etag:%225c659898-26f%22	http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/css/images/file-icons/xls.gif?20190214043432	C:/My%20Web%20Sites/CGTest/www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/css/images/file-icons/xls13e1.gif	(from http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/compiled/theme.min.css?_=140220191634)
15:03:35	270/270	---M--	200	added ('OK')	image/gif	etag:%225c659898-10e%22	http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/css/images/file-icons/zip.gif?20190214043432	C:/My%20Web%20Sites/CGTest/www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/css/images/file-icons/zip13e1.gif	(from http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/compiled/theme.min.css?_=140220191634)
15:03:35	403/403	---M--	200	added ('OK')	image/png	etag:%225c659898-193%22	http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/css/includes/display_objects/rater/images/star_zero.png?20190214043432	C:/My%20Web%20Sites/CGTest/www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/css/includes/display_objects/rater/images/star_zero13e1.png	(from http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/compiled/theme.min.css?_=140220191634)
15:03:35	447/447	---M--	200	added ('OK')	image/png	etag:%225c659898-1bf%22	http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/css/includes/display_objects/rater/images/star_one.png?20190214043432	C:/My%20Web%20Sites/CGTest/www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/css/includes/display_objects/rater/images/star_one13e1.png	(from http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/compiled/theme.min.css?_=140220191634)
15:03:36	594/594	---M--	200	added ('OK')	image/png	etag:%225c659898-252%22	http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/css/includes/display_objects/rater/images/star_onehalf.png?20190214043432	C:/My%20Web%20Sites/CGTest/www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/css/includes/display_objects/rater/images/star_onehalf13e1.png	(from http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/compiled/theme.min.css?_=140220191634)
15:03:36	460/460	---M--	200	added ('OK')	image/png	etag:%225c659898-1cc%22	http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/css/includes/display_objects/rater/images/star_two.png?20190214043432	C:/My%20Web%20Sites/CGTest/www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/css/includes/display_objects/rater/images/star_two13e1.png	(from http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/compiled/theme.min.css?_=140220191634)
15:03:36	603/603	---M--	200	added ('OK')	image/png	etag:%225c659898-25b%22	http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/css/includes/display_objects/rater/images/star_twohalf.png?20190214043432	C:/My%20Web%20Sites/CGTest/www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/css/includes/display_objects/rater/images/star_twohalf13e1.png	(from http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/compiled/theme.min.css?_=140220191634)
15:03:36	456/456	---M--	200	added ('OK')	image/png	etag:%225c659898-1c8%22	http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/css/includes/display_objects/rater/images/star_three.png?20190214043432	C:/My%20Web%20Sites/CGTest/www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/css/includes/display_objects/rater/images/star_three13e1.png	(from http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/compiled/theme.min.css?_=140220191634)
15:03:37	584/584	---M--	200	added ('OK')	image/png	etag:%225c659898-248%22	http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/css/includes/display_objects/rater/images/star_threehalf.png?20190214043432	C:/My%20Web%20Sites/CGTest/www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/css/includes/display_objects/rater/images/star_threehalf13e1.png	(from http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/compiled/theme.min.css?_=140220191634)
15:03:37	440/440	---M--	200	added ('OK')	image/png	etag:%225c659898-1b8%22	http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/css/includes/display_objects/rater/images/star_four.png?20190214043432	C:/My%20Web%20Sites/CGTest/www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/css/includes/display_objects/rater/images/star_four13e1.png	(from http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/compiled/theme.min.css?_=140220191634)
15:03:37	524/524	---M--	200	added ('OK')	image/png	etag:%225c659898-20c%22	http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/css/includes/display_objects/rater/images/star_fourhalf.png?20190214043432	C:/My%20Web%20Sites/CGTest/www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/css/includes/display_objects/rater/images/star_fourhalf13e1.png	(from http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/compiled/theme.min.css?_=140220191634)
15:03:37	396/396	---M--	200	added ('OK')	image/png	etag:%225c659898-18c%22	http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/css/includes/display_objects/rater/images/star_five.png?20190214043432	C:/My%20Web%20Sites/CGTest/www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/css/includes/display_objects/rater/images/star_five13e1.png	(from http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/compiled/theme.min.css?_=140220191634)
15:03:39	5021/5021	---M--	200	added ('OK')	image/png	etag:%225c659898-139d%22	http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme//images/businessvoice/apple-touch-icon-57x57.png	C:/My%20Web%20Sites/CGTest/www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/images/businessvoice/apple-touch-icon-57x57.png	(from http://www.cbi.org.uk/businessvoice/)
15:03:40	5340/5340	---M--	200	added ('OK')	image/png	etag:%225c659898-14dc%22	http://www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme//images/businessvoice/apple-touch-icon-60x60.png	C:/My%20Web%20Sites/CGTest/www.cbi.org.uk/cbi-prod/includes/themes/mura-cbi-theme/images/businessvoice/apple-touch-icon-60x60.png	(from http://www.cbi.org.uk/businessvoice/)
